"Name","c_1","num_particles","num_hidden_layers","c_2","omega","epochs","num_per_layer","_wandb","epoch","val_loss","train_loss"
"ruby-sweep-165","2","65","2","2","0.9","250","10","null","249","0.11592378715674084","0.11501738197273678"
"fragrant-sweep-164","2","64","2","2","0.9","250","10","null","249","0.11621435085932412","0.11867706759108436"
"glowing-sweep-163","2","63","2","2","0.9","250","10","null","249","0.1100324218471845","0.12041836927334468"
"wise-sweep-162","2","62","2","2","0.9","250","10","null","249","0.18032620052496592","0.17765357428126866"
"vivid-sweep-161","2","61","2","2","0.9","250","10","null","249","0.12211877405643463","0.12710279375314712"
"solar-sweep-160","2","60","2","2","0.9","250","10","null","249","0.12627544899781545","0.14495491551028358"
"pleasant-sweep-159","2","59","2","2","0.9","250","10","null","249","0.10827828993399938","0.12001426931884554"
"warm-sweep-158","2","58","2","2","0.9","250","10","null","249","0.13683023353417714","0.12963951991664038"
"sunny-sweep-157","2","57","2","2","0.9","250","10","null","249","0.1745651880900065","0.1380228446589576"
"sweet-sweep-156","2","56","2","2","0.9","250","10","null","249","0.12873212297757466","0.1331591967079375"
"electric-sweep-155","2","55","2","2","0.9","250","10","null","249","0.15388819674650828","0.15207734207312265"
"avid-sweep-154","2","54","2","2","0.9","250","10","null","249","0.15072476267814636","0.15712860524654387"
"wobbly-sweep-153","2","53","2","2","0.9","250","10","null","249","0.20466073950131733","0.2086989892853631"
"restful-sweep-152","2","52","2","2","0.9","250","10","null","249","0.15738729536533355","0.1425251523653666"
"chocolate-sweep-151","2","51","2","2","0.9","250","10","null","249","0.13167520761489868","0.10591023994816674"
"charmed-sweep-150","2","50","2","2","0.9","250","10","null","249","0.1487916052341461","0.14240691992971632"
"valiant-sweep-149","2","49","2","2","0.9","250","10","null","249","0.13443697094917298","0.13578242394659254"
"hearty-sweep-148","2","48","2","2","0.9","250","10","null","249","0.15861495037873585","0.14674237055910958"
"glad-sweep-147","2","47","2","2","0.9","250","10","null","249","0.17232442498207093","0.16519142422411176"
"glamorous-sweep-146","2","46","2","2","0.9","250","10","null","249","0.14867375592390697","0.13853634695212047"
"dulcet-sweep-145","2","45","2","2","0.9","250","10","null","249","0.11209778487682344","0.12496236364046732"
"serene-sweep-144","2","44","2","2","0.9","250","10","null","249","0.13099882404009502","0.1336674643887414"
"tough-sweep-143","2","43","2","2","0.9","250","10","null","249","0.14684308071931204","0.14069703651799095"
"crimson-sweep-142","2","42","2","2","0.9","250","10","null","249","0.16156348089377084","0.1447172807322608"
"jolly-sweep-141","2","41","2","2","0.9","250","10","null","249","0.14466514686743415","0.16589505738682217"
"efficient-sweep-140","2","40","2","2","0.9","250","10","null","249","0.2650345017512639","0.2391273107793596"
"toasty-sweep-139","2","39","2","2","0.9","250","10","null","249","0.13103834788004556","0.1294790920284059"
"youthful-sweep-138","2","38","2","2","0.9","250","10","null","249","0.13253967662652333","0.13859176536401113"
"misunderstood-sweep-137","2","37","2","2","0.9","250","10","null","249","0.1807794282833735","0.17627260287602742"
"dainty-sweep-136","2","36","2","2","0.9","250","10","null","249","0.18422424097855888","0.16209820210933684"
"eternal-sweep-135","2","35","2","2","0.9","250","10","null","249","0.1574375182390213","0.1446051428715388"
"graceful-sweep-134","2","34","2","2","0.9","250","10","null","249","0.11458851595719656","0.1244577407836914"
"absurd-sweep-133","2","33","2","2","0.9","250","10","null","249","0.160881573955218","0.1406449321243498"
"fanciful-sweep-132","2","32","2","2","0.9","250","10","null","249","0.22460045119126637","0.21710769202974103"
"azure-sweep-131","2","31","2","2","0.9","250","10","null","249","0.15563505391279855","0.15652722385194567"
"rural-sweep-130","2","30","2","2","0.9","250","10","null","249","0.19688002268473304","0.17806895441479154"
"fragrant-sweep-129","2","29","2","2","0.9","250","10","null","249","0.1513876348733902","0.16590122050709194"
"robust-sweep-128","2","28","2","2","0.9","250","10","null","249","0.23140588402748108","0.19228265119923485"
"kind-sweep-127","2","27","2","2","0.9","250","10","null","249","0.14986150364081066","0.16698801153235965"
"polar-sweep-126","2","26","2","2","0.9","250","10","null","249","0.20878003935019177","0.2032271494468053"
"resilient-sweep-125","2","25","2","2","0.9","250","10","null","249","0.1402945746978124","0.14320013225078582"
"jumping-sweep-124","2","24","2","2","0.9","250","10","null","249","0.14188796579837798","0.15395237439208562"
"curious-sweep-123","2","23","2","2","0.9","250","10","null","249","0.17403743167718252","0.15195556945270963"
"legendary-sweep-122","2","22","2","2","0.9","250","10","null","249","0.20081185003121693","0.17722772558530173"
"golden-sweep-121","2","21","2","2","0.9","250","10","null","249","0.1529441684484482","0.13765918413798017"
"autumn-sweep-120","2","20","2","2","0.9","250","10","null","249","0.19261166354020437","0.17882199784119923"
"cool-sweep-119","2","19","2","2","0.9","250","10","null","249","0.18812704980373385","0.15828775730397965"
"distinctive-sweep-118","2","18","2","2","0.9","250","10","null","249","0.1529111166795095","0.1498924795124266"
"morning-sweep-117","2","17","2","2","0.9","250","10","null","249","0.17144682109355927","0.17482528554068671"
"golden-sweep-116","2","16","2","2","0.9","250","10","null","249","0.14108658830324808","0.1385808280772633"
"devout-sweep-115","2","15","2","2","0.9","250","10","null","249","0.16994255582491558","0.15013088451491463"
"blooming-sweep-114","2","14","2","2","0.9","250","10","null","249","0.17395789126555125","0.18901106152269576"
"summer-sweep-113","2","13","2","2","0.9","250","10","null","249","0.22493793865044912","0.2065396077103085"
"rural-sweep-112","2","12","2","2","0.9","250","10","null","249","0.21621709565321603","0.20425412290626105"
"dulcet-sweep-111","2","11","2","2","0.9","250","10","null","249","0.23181958695252736","0.2235052168369293"
"revived-sweep-110","2","10","2","2","0.9","250","10","null","249","0.14974840780099233","0.1398154119650523"
"unique-sweep-109","2","9","2","2","0.9","250","10","null","249","0.22909044623374936","0.21780000825723012"
"proud-sweep-108","2","8","2","2","0.9","250","10","null","249","0.23639204104741415","0.20956159830093385"
"blooming-sweep-107","2","7","2","2","0.9","250","10","null","249","0.2105140040318171","0.21803249948554568"
"genial-sweep-106","2","6","2","2","0.9","250","10","null","249","0.28682184815406797","0.29347449474864534"
"charmed-sweep-105","2","5","2","2","0.9","250","10","null","249","0.3061508933703105","0.3279211289352841"
"gallant-sweep-104","2","4","2","2","0.9","250","10","null","249","0.254677681128184","0.24699350595474245"
"dark-sweep-103","null","3","2","null","null","null","null","null","null","null","null"
"chocolate-sweep-102","null","2","2","null","null","null","null","null","null","null","null"
"scarlet-sweep-101","2","1","2","2","0.9","250","10","null","249","13.156251462300618","10.62527118259006"
"firm-sweep-100","2","100","1","2","0.9","250","10","null","249","0.098855755229791","0.09910975280735228"
